method,benchmark,seeds,fitness_mean,fitness_std,capability_mean,capability_std,architectures
fixed_attention,gsm8k,1,0.3199,0.0000,0.2500,0.0000,"Attention + Direct + None"
fixed_attention,pubmedqa,1,0.3801,0.0000,0.5000,0.0000,"Attention + Direct + None"
fixed_mamba,gsm8k,1,0.3432,0.0000,0.2500,0.0000,"Mamba + Direct + None"
fixed_mamba,pubmedqa,1,0.4151,0.0000,0.4900,0.0000,"Mamba + Direct + None"
fixed_hybrid,gsm8k,1,0.2568,0.0000,0.1800,0.0000,"Hybrid + Direct + None"
fixed_hybrid,pubmedqa,1,0.3662,0.0000,0.5100,0.0000,"Hybrid + Direct + None"
random,gsm8k,3,0.5876,0.0036,0.5767,0.0058,"Mamba + Verify + LoRA | Mamba + Verify + LoRA | Mamba + Verify + LoRA"
random,pubmedqa,3,0.4800,0.0194,0.5000,0.0346,"Mamba + Planner + INT8 | Mamba + Planner + INT8 | Mamba + Planner + INT8"
no_pareto,gsm8k,3,0.5850,0.0034,0.5833,0.0115,"Mamba + Verify + LoRA | Mamba + Verify + None | Mamba + Verify + None"
no_pareto,pubmedqa,3,0.4780,0.0085,0.5633,0.0115,"Retrieval + Planner + INT8 | Mamba + Direct + INT8 | Mamba + Direct + INT8"
enss,gsm8k,3,0.6012,0.0103,0.5833,0.0289,"Mamba + Verify + LoRA | Mamba + CoT + LoRA | Mamba + Verify + LoRA"
enss,pubmedqa,3,0.4814,0.0082,0.5700,0.0173,"Mamba + Planner + QLoRA | Mamba + Planner + INT8 | Mamba + Planner + INT8"
no_memory,gsm8k,3,0.5326,0.0000,0.4100,0.0000,"Mamba + Planner + INT8 | Mamba + Planner + INT8 | Mamba + Planner + INT8"
no_memory,pubmedqa,3,0.6100,0.0000,0.4400,0.0000,"Mamba + Direct + INT8 | Mamba + Direct + INT8 | Mamba + Direct + INT8"
no_inherit,gsm8k,3,0.6341,0.0128,0.6133,0.0231,"Mamba + CoT + LoRA | Mamba + CoT + LoRA | Mamba + CoT + LoRA"
no_inherit,pubmedqa,3,0.4758,0.0127,0.4533,0.0924,"Mamba + Planner + INT8 | Mamba + Verify + INT8 | Mamba + Verify + INT8"
