method,seed,best_architecture,fitness,capability,efficiency,adaptability,prompt_tokens_total,latency_sec
enss,0,Hybrid + Verify + Truncated + FP16,0.680166263981102,0.62,0.8594583228593813,0.5616438356164384,39831,30.245155811309814
enss,1,Hybrid + Verify + Truncated + FP16,0.680166263981102,0.62,0.8594583228593813,0.5616438356164384,39831,30.245155811309814
enss,2,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,24.941092252731323
fixed_mamba2,0,Mamba2 + Direct + Full + FP16,0.3622584116040175,0.26,0.6280759838855379,0.2191780821917808,62691,30.66312599182129
fixed_recency,0,Recency + Direct + Full + FP16,0.39936246567906086,0.24,0.8033543376516641,0.1917808219178082,66091,132.10081577301025
fixed_retrieval,0,Retrieval + Direct + Full + FP16,0.40697684059072414,0.25,0.8029365005992175,0.2054794520547945,66323,402.4613890647888
no_inherit,0,Hybrid + Verify + Truncated + FP16,0.680166263981102,0.62,0.8594583228593813,0.5616438356164384,39831,27.10185980796814
no_inherit,1,Hybrid + Verify + Truncated + FP16,0.680166263981102,0.62,0.8594583228593813,0.5616438356164384,39831,27.10185980796814
no_inherit,2,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,25.601319313049316
no_mamba2,0,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,438.8114650249481
no_mamba2,1,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,438.8114650249481
no_mamba2,2,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,438.8114650249481
random,0,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,24.913862466812134
random,1,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,24.913862466812134
random,2,Recency + Verify + Truncated + FP16,0.6828604523421171,0.62,0.8593065306381074,0.5753424657534246,39891,24.913862466812134
