pair_id,genome,architecture,inherited_pre_loss,inherited_post_loss,inherited_pre_capability,inherited_post_capability,inherited_wall_clock,scratch_pre_loss,scratch_post_loss,scratch_pre_capability,scratch_post_capability,scratch_wall_clock
0,"{""context_policy"": ""full"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""verify"", ""state_size"": 64}",Mamba2 + Verify + Full + FP16,0.7358175218105316,0.6667613089084625,0.39,0.39,0.3917372226715088,1.0020696818828583,0.7366077601909637,0.39,0.39,0.40178418159484863
1,"{""context_policy"": ""answer_only"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""direct"", ""state_size"": 64}",Mamba2 + Direct + AnswerOnly + FP16,0.7350605726242065,0.6667314171791077,0.11,0.11,0.435319185256958,1.0020696818828583,0.7366077601909637,0.11,0.11,0.4531712532043457
2,"{""context_policy"": ""truncated"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""planner"", ""state_size"": 64}",Mamba2 + Planner + Truncated + FP16,0.7376932501792908,0.6666682660579681,0.41,0.41,0.46419310569763184,1.0020696818828583,0.7366077601909637,0.41,0.41,0.5141270160675049
3,"{""context_policy"": ""answer_only"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""verify"", ""state_size"": 64}",Mamba2 + Verify + AnswerOnly + FP16,0.737352728843689,0.666974663734436,0.39,0.39,0.44815874099731445,1.0020696818828583,0.7366077601909637,0.39,0.39,0.3467087745666504
4,"{""context_policy"": ""truncated"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""cot"", ""state_size"": 64}",Mamba2 + CoT + Truncated + FP16,0.7358175218105316,0.6667613089084625,0.39,0.39,0.566105842590332,1.0020696818828583,0.7366077601909637,0.39,0.39,0.5301809310913086
5,"{""context_policy"": ""answer_only"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""direct"", ""state_size"": 64}",Mamba2 + Direct + AnswerOnly + FP16,0.7350605726242065,0.6667314171791077,0.11,0.11,0.5389149188995361,1.0020696818828583,0.7366077601909637,0.11,0.11,0.5363402366638184
6,"{""context_policy"": ""full"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""verify"", ""state_size"": 64}",Mamba2 + Verify + Full + FP16,0.7376932501792908,0.6666682660579681,0.39,0.39,0.4561767578125,1.0020696818828583,0.7366077601909637,0.39,0.39,0.4360082149505615
7,"{""context_policy"": ""full"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""direct"", ""state_size"": 64}",Mamba2 + Direct + Full + FP16,0.737352728843689,0.666974663734436,0.11,0.11,0.451796293258667,1.0020696818828583,0.7366077601909637,0.11,0.11,0.48927879333496094
8,"{""context_policy"": ""full"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""cot"", ""state_size"": 64}",Mamba2 + CoT + Full + FP16,0.7358175218105316,0.6667613089084625,0.39,0.39,0.4428369998931885,1.0020696818828583,0.7366077601909637,0.39,0.39,0.5311048030853271
9,"{""context_policy"": ""full"", ""hidden_size"": 1024, ""memory"": ""mamba2"", ""quantization"": ""fp16"", ""reasoning"": ""verify"", ""state_size"": 64}",Mamba2 + Verify + Full + FP16,0.7350605726242065,0.6667314171791077,0.39,0.39,0.4660975933074951,1.0020696818828583,0.7366077601909637,0.39,0.39,0.6170024871826172
