benchmark,method,budget,seed,best_capability,hypervolume,hypervolume_regret,eps_pareto_hit,evals_to_threshold,auc_best_capability
gsm8k,enss,12,0,0.62,0.5443718133756907,0.0034109432811547657,1,5,0.5808333333333334
gsm8k,enss,12,1,0.52,0.4588829860410774,0.08889977061576809,0,,0.49166666666666653
gsm8k,enss,12,2,0.56,0.48943611243949214,0.05834664421735336,0,,0.5283333333333334
gsm8k,enss,12,3,0.51,0.45264952116060325,0.09513323549624225,0,,0.49166666666666653
gsm8k,enss,12,4,0.59,0.5189217993513554,0.028860957305490098,0,,0.5541666666666667
gsm8k,enss,12,5,0.49,0.4348407981972931,0.1129419584595524,0,,0.48000000000000015
gsm8k,enss,12,6,0.56,0.4945190336548204,0.05326372300202509,0,,0.5433333333333334
gsm8k,enss,12,7,0.56,0.4907075375767299,0.05707521908011559,0,,0.5266666666666667
gsm8k,enss,12,8,0.62,0.5430717431215936,0.00471101353525194,1,8,0.5533333333333333
gsm8k,enss,12,9,0.62,0.5452253569607032,0.002557399696142326,1,1,0.62
gsm8k,enss,12,10,0.5,0.4441432029017612,0.10363955375508432,0,,0.49666666666666665
gsm8k,enss,12,11,0.62,0.5475529345117318,0.00022982214511368948,1,8,0.5558333333333333
gsm8k,enss,12,12,0.59,0.5147402370367986,0.033042519620046895,0,,0.5375
gsm8k,enss,12,13,0.52,0.455594094034701,0.09218866262214448,0,,0.5141666666666665
gsm8k,enss,12,14,0.62,0.5452760904990644,0.0025066661577810567,1,6,0.5950000000000001
gsm8k,enss,12,15,0.52,0.4505313368800695,0.09725141977677598,0,,0.4858333333333332
gsm8k,enss,12,16,0.62,0.5452898483374675,0.0024929083193779844,1,4,0.6025
gsm8k,enss,12,17,0.62,0.5449252173316552,0.0028575393251902836,1,1,0.62
gsm8k,enss,12,18,0.62,0.5412438296529319,0.006538927003913564,1,11,0.5416666666666666
gsm8k,enss,12,19,0.62,0.5469462005126029,0.0008365561442426062,1,4,0.5516666666666667
gsm8k,enss,24,0,0.62,0.545416740962747,0.0023660156940985555,1,5,0.6004166666666664
gsm8k,enss,24,1,0.62,0.5474596964330997,0.0003230602237458413,1,22,0.5229166666666664
gsm8k,enss,24,2,0.62,0.5469874809982396,0.0007952756586059317,1,18,0.5679166666666665
gsm8k,enss,24,3,0.62,0.5477736491235691,9.107533276431212e-06,1,16,0.5420833333333329
gsm8k,enss,24,4,0.56,0.49601992528580446,0.05176283137104104,0,,0.5545833333333337
gsm8k,enss,24,5,0.56,0.4962152572852827,0.0515674993715628,0,,0.5170833333333337
gsm8k,enss,24,6,0.62,0.5477827566568455,0.0,1,17,0.5716666666666665
gsm8k,enss,24,7,0.62,0.5456459351492879,0.0021368215075575625,1,21,0.5533333333333333
gsm8k,enss,24,8,0.62,0.5473311554156634,0.0004516012411821535,1,8,0.5866666666666663
gsm8k,enss,24,9,0.62,0.5472645946648338,0.000518161992011712,1,1,0.6199999999999997
gsm8k,enss,24,10,0.56,0.49601992528580446,0.05176283137104104,0,,0.5283333333333335
