config,benchmark,cap_1.5B,cap_7B,delta_pp
A_gsm,gsm8k,0.5431,0.6965,15.34
A_gsm,pubmedqa,0.5375,0.6775,14.00
A_pubmed,gsm8k,0.5316,0.6817,15.01
A_pubmed,pubmedqa,0.5375,0.7025,16.50
fixed_hybrid,gsm8k,0.2116,0.5357,32.41
fixed_hybrid,pubmedqa,0.5550,0.5350,-2.00
fixed_mamba2,gsm8k,0.2051,0.5488,34.37
fixed_mamba2,pubmedqa,0.5450,0.4975,-4.75
fixed_recency,gsm8k,0.2289,0.5406,31.17
fixed_recency,pubmedqa,0.5525,0.6025,5.00
fixed_retrieval,gsm8k,0.1862,0.5242,33.80
fixed_retrieval,pubmedqa,0.5725,0.5600,-1.25
no_memory,gsm8k,0.4487,0.5849,13.62
no_memory,pubmedqa,0.5100,0.6475,13.75
pareto_gsm_cot,gsm8k,0.5365,0.7408,20.43
pareto_gsm_cot,pubmedqa,0.3900,0.2850,-10.50
pareto_pub_mamba2,gsm8k,0.0878,0.1247,3.69
pareto_pub_mamba2,pubmedqa,0.6175,0.4925,-12.50
pareto_pub_planner,gsm8k,0.4487,0.6940,24.53
pareto_pub_planner,pubmedqa,0.5475,0.6150,6.75
