config,benchmark,model,architecture,capability,efficiency,adaptability,prompt_tokens_total,latency_sec,wall_time_sec,adaptation_post_loss
A_gsm,gsm8k,Qwen2.5-1.5B-Instruct,Recency + Cot + Full + Fp16,0.5833,0.9000,0.5000,3052,11.7,11.7,null
A_pubmed,gsm8k,Qwen2.5-1.5B-Instruct,None + Direct + Full + Fp16,0.0000,0.9639,0.0000,940,0.2,0.2,null
A_qasper,gsm8k,Qwen2.5-1.5B-Instruct,Retrieval + Direct + Truncated + Fp16,0.0000,0.7506,0.0000,12180,0.7,0.8,null
fixed_recency,gsm8k,Qwen2.5-1.5B-Instruct,Recency + Direct + Full + Fp16,0.0833,0.8015,0.0000,8056,5.6,5.6,null
A_gsm,pubmedqa,Qwen2.5-1.5B-Instruct,Recency + Cot + Full + Fp16,0.5833,0.8185,0.0000,6969,11.3,11.3,null
A_pubmed,pubmedqa,Qwen2.5-1.5B-Instruct,None + Direct + Full + Fp16,0.5000,0.8749,0.5000,4077,6.3,6.3,null
A_qasper,pubmedqa,Qwen2.5-1.5B-Instruct,Retrieval + Direct + Truncated + Fp16,0.7500,0.6168,0.0000,40083,1.6,1.7,null
fixed_recency,pubmedqa,Qwen2.5-1.5B-Instruct,Recency + Direct + Full + Fp16,0.6667,0.7280,0.0000,14601,0.6,0.7,null
A_gsm,qasper,Qwen2.5-1.5B-Instruct,Recency + Cot + Full + Fp16,0.2052,0.6331,0.2052,33691,13.8,13.9,null
A_pubmed,qasper,Qwen2.5-1.5B-Instruct,None + Direct + Full + Fp16,0.0558,0.7092,0.0558,17011,6.6,6.7,null
A_qasper,qasper,Qwen2.5-1.5B-Instruct,Retrieval + Direct + Truncated + Fp16,0.1530,0.6882,0.1530,20274,4.9,5.0,null
fixed_recency,qasper,Qwen2.5-1.5B-Instruct,Recency + Direct + Full + Fp16,0.1245,0.6324,0.1245,33943,8.3,8.4,null
